,id,name,neighbourhood,room_type,price
127,1671911,Modern Studio Apartment Near Causeway Bay [2],Eastern,Entire home/apt,784.0
128,1697582,"7BedR + 5BathR @ Hennessy Road 09/F 1,160SF",Wan Chai,Entire home/apt,4846.0
129,1702604,"fit 12 ppl,big family, cozy",Yau Tsim Mong,Entire home/apt,2257.0
130,1708543,Spacious studio in heart of SoHo,Central & Western,Entire home/apt,799.0
131,1711948,WanChai 2min MTR Washer WIFI #JB,Wan Chai,Entire home/apt,388.0
132,1745925,walk 30sec to Yau Ma Tei MTR Rm10,Yau Tsim Mong,Private room,2000.0
133,1749208,walk 30sec to Yau Ma Tei MTR Rm11,Yau Tsim Mong,Private room,1286.0
134,1752310,"Modern Large Studio , Heart of city",Wan Chai,Entire home/apt,1089.0
135,1756864,Family Friendly Apartment Midlevels,Central & Western,Entire home/apt,2750.0
136,1759734,Modern 1BR Apartment in Hong Kong,Central & Western,Entire home/apt,760.0
137,1803521,"油尖旺1房厅有厨,厕,在地鉄上,住3人月租14800起",Yau Tsim Mong,Entire home/apt,607.0
138,1808691,油麻地地鉄上的靚套房,Yau Tsim Mong,Private room,238.0
139,1816287,"旺角的2人,标准2个床大套间",Yau Tsim Mong,Private room,421.0
140,1825634,HK Clean and Private Room 簡單房間,Sham Shui Po,Private room,210.0
141,1826133,Harbour Mong kok Renovated Room 2,Yau Tsim Mong,Private room,2256.0
142,1832930,Single bed room with green view,North,Private room,350.0
143,1835565,Central Mong kok Renovated Room 2,Yau Tsim Mong,Private room,714.0
144,1838581,Suite 901 @ Hennessy Road 1-2 Guest,Wan Chai,Private room,745.0
145,1838603,Suite 902 @ Hennessy Road 1-3 Guest,Wan Chai,Private room,745.0
146,1838607,Suite 903 @ Hennessy Road 1-2 Guest,Wan Chai,Private room,668.0
147,1838612,Suite 904 @ Hennessy Road 1-2 Guest,Wan Chai,Private room,668.0
148,1838620,Suite 906 @ Hennessy Road 1-2 Guest,Wan Chai,Private room,549.0
149,1838624,Suite 907 @ Hennessy Road 1-2 Guest,Wan Chai,Private room,771.0
150,1849525,Harbour Mong kok Renovated Room 5,Yau Tsim Mong,Private room,804.0
151,1849579,Harbour Mong kok Renovated Room 6,Yau Tsim Mong,Private room,859.0
152,1851862,Room in Heart of Mong Kok 2.....,Yau Tsim Mong,Private room,654.0
153,1852093,Modern Studio Apartment Near Causeway Bay [4],Wan Chai,Entire home/apt,784.0
154,1887852,Stunning Studio in Central(ml4),Central & Western,Entire home/apt,480.0
155,1895710,For 4 ppl @MK MTR exit E1 1min walk,Yau Tsim Mong,Entire home/apt,615.0
156,1907254,TWO bedroom apartment @ W.Mid-level,Central & Western,Entire home/apt,1147.0
